job_company,job_education,job_industry,job_listed,job_location,job_name            ,job_persons,job_salary,job_time ,job_year
亿阳信通       ,硕士           ,医疗健康        ,已上市       ,北京 海淀区 四季青  ,医疗影像算法工程师           ,1000-9999人 ,15k-30k   ,发布于02月14日,经验不限
茄子快传       ,本科           ,互联网         ,B轮        ,北京 海淀区 西北旺  ,广告算法工程师             ,100-499人   ,25k-50k   ,发布于02月25日,3-5年
鑫瑞天翔       ,硕士           ,信息安全        ,未融资       ,北京 海淀区 五道口  ,语音算法工程师             ,20-99人     ,35k-50k   ,发布于02月25日,5-10年
云知声        ,硕士           ,移动互联网       ,C轮        ,北京 朝阳区 太阳宫  ,高级算法工程师(J10315)     ,100-499人   ,15k-25k   ,发布于02月21日,3-5年
超思电子       ,本科           ,医疗健康        ,不需要融资     ,北京 石景山区 苹果园 ,高级算法工程师             ,500-999人   ,25k-50k   ,发布于02月14日,3-5年
青萌数海科技     ,本科           ,数据服务        ,天使轮       ,北京 东城区 和平里  ,算法工程师               ,0-20人      ,15k-25k   ,发布于02月22日,1-3年
云天弈        ,硕士           ,移动互联网       ,A轮        ,北京 西城区 金融街  ,高级算法工程师             ,20-99人     ,23k-40k   ,发布于02月19日,3-5年
利卓创新       ,本科           ,智能硬件        ,B轮        ,北京 丰台区 看丹桥  ,算法工程师               ,20-99人     ,15k-30k   ,发布于12:26 ,1-3年
三一重能       ,本科           ,其他行业        ,不需要融资     ,北京 昌平区 回龙观  ,风电-控制算法工程师          ,1000-9999人 ,10k-20k   ,发布于02月26日,3-5年
小药药        ,本科           ,医疗健康        ,C轮        ,北京 朝阳区 望京   ,算法工程师（策略、排序方向）      ,1000-9999人 ,20k-35k   ,发布于02月25日,3-5年
同程艺龙       ,大专           ,互联网         ,已上市       ,北京 朝阳区 酒仙桥  ,算法工程师-数据部           ,1000-9999人 ,25k-45k   ,发布于02月20日,3-5年
秒针系统       ,大专           ,互联网         ,D轮及以上     ,北京 朝阳区 望京   ,运筹优化算法工程师           ,500-999人   ,15k-25k   ,发布于02月22日,经验不限
微店         ,硕士           ,移动互联网       ,C轮        ,北京 朝阳区 酒仙桥  ,风控算法工程师             ,500-999人   ,30k-60k   ,发布于02月19日,1-3年
北京爱欣文化发展...,本科           ,培训机构        ,          ,北京 朝阳区 三元桥  ,算法工程师               ,100-499人   ,28k-40k   ,发布于02月22日,3-5年
联合创展       ,本科           ,移动互联网       ,不需要融资     ,北京 朝阳区 望京   ,风控算法工程师             ,100-499人   ,25k-50k   ,发布于02月20日,3-5年
vivo       ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 四季青  ,人工智能算法工程师           ,10000人以上   ,25k-35k   ,发布于02月25日,1-3年
OKCoin     ,本科           ,互联网         ,B轮        ,北京 海淀区 上地   ,风控算法工程师             ,500-999人   ,30k-40k   ,发布于02月25日,3-5年
京东数字科技     ,硕士           ,互联网         ,不需要融资     ,北京          ,数据算法工程师             ,1000-9999人 ,30k-50k   ,发布于02月20日,3-5年
爱康国宾       ,本科           ,医疗健康        ,不需要融资     ,北京          ,NLP算法工程师            ,1000-9999人 ,35k-45k   ,发布于02月14日,5-10年
随行付金科      ,本科           ,互联网金融       ,未融资       ,北京 海淀区 中关村  ,算法工程师               ,100-499人   ,20k-30k   ,发布于02月14日,1-3年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,算法工程师--流调度方向        ,10000人以上   ,25k-50k   ,发布于02月22日,经验不限
中科创星       ,博士           ,智能硬件        ,不需要融资     ,北京 丰台区 花乡   ,软件/算法工程师            ,100-499人   ,25k-30k   ,发布于02月15日,3-5年
深度智耀       ,本科           ,互联网         ,B轮        ,北京 朝阳区 酒仙桥  ,算法/高级算法工程师          ,100-499人   ,20k-40k   ,发布于02月25日,1-3年
腾讯         ,硕士           ,互联网         ,已上市       ,北京 海淀区 中关村  ,TEG13-计算机视觉算法工程师（深圳）,10000人以上   ,30k-60k   ,发布于02月17日,3-5年
踏歌智行       ,硕士           ,汽车生产        ,A轮        ,北京 海淀区 中关村  ,点云算法工程师             ,100-499人   ,25k-40k   ,发布于02月22日,1-3年
北京灵思创奇科技...,本科           ,智能硬件        ,不需要融资     ,北京          ,飞控算法工程师             ,20-99人     ,11k-20k   ,发布于02月21日,1年以内
