job_company,job_education,job_industry,job_listed,job_location,job_name       ,job_persons,job_salary,job_time ,job_year
上海微创软件     ,大专           ,计算机软件       ,不需要融资     ,北京 海淀区 万柳   ,Java开发工程师      ,1000-9999人 ,12k-20k   ,发布于10:57 ,3-5年
PACTERA    ,本科           ,计算机软件       ,已上市       ,北京          ,java           ,10000人以上   ,10k-15k   ,发布于02月25日,3-5年
沐屿科技       ,本科           ,互联网         ,B轮        ,北京 朝阳区 望京   ,Java           ,100-499人   ,15k-25k   ,发布于02月20日,3-5年
北大青鸟       ,本科           ,在线教育        ,不需要融资     ,北京 海淀区 北京大学 ,Java讲师         ,1000-9999人 ,12k-13k   ,发布于02月25日,3-5年
蚂蚁金服       ,本科           ,互联网         ,C轮        ,北京 朝阳区 朝外   ,Java           ,10000人以上   ,14k-28k   ,发布于02月19日,经验不限
元拓科技       ,大专           ,计算机软件       ,不需要融资     ,北京 昌平区 昌平   ,java           ,100-499人   ,10k-12k   ,发布于11:02 ,1-3年
微医集团       ,大专           ,移动互联网       ,D轮及以上     ,北京 朝阳区 安贞   ,Java           ,1000-9999人 ,12k-24k   ,发布于00:36 ,3-5年
爱立信        ,本科           ,通信/网络设备     ,已上市       ,北京 朝阳区 望京   ,Java Developer ,10000人以上   ,18k-30k   ,发布于02月19日,3-5年
东软集团       ,本科           ,医疗健康        ,已上市       ,北京 海淀区 万柳   ,Java           ,10000人以上   ,14k-18k   ,发布于11:03 ,3-5年
法本信息       ,本科           ,互联网         ,已上市       ,北京 海淀区 双榆树  ,Java开发         ,1000-9999人 ,12k-24k   ,发布于昨天    ,3-5年
小米         ,本科           ,互联网         ,已上市       ,北京 海淀区 清河   ,Java           ,10000人以上   ,15k-30k   ,发布于02月21日,3-5年
新晨科技       ,本科           ,通信/网络设备     ,已上市       ,北京 西城区 西单   ,Java           ,1000-9999人 ,7k-12k    ,发布于02月14日,1-3年
阿里巴巴高德     ,本科           ,互联网         ,已上市       ,北京 朝阳区 大望路  ,Java           ,1000-9999人 ,25k-50k   ,发布于02月23日,5-10年
京东集团       ,本科           ,电子商务        ,已上市       ,北京          ,高级Java开发工程师    ,10000人以上   ,25k-45k   ,发布于11:06 ,5-10年
汽车之家       ,本科           ,互联网         ,已上市       ,北京 海淀区 双榆树  ,Java           ,1000-9999人 ,20k-40k   ,发布于02月24日,3-5年
蚂蚁金服       ,本科           ,互联网         ,C轮        ,北京 朝阳区 望京   ,Java研发         ,10000人以上   ,20k-40k   ,发布于昨天    ,1-3年
亚信科技       ,本科           ,计算机软件       ,未融资       ,北京 朝阳区 百子湾  ,Java           ,1000-9999人 ,10k-15k   ,发布于02月20日,3-5年
互连众信       ,本科           ,互联网金融       ,C轮        ,北京 朝阳区 团结湖  ,java开发工程师      ,1000-9999人 ,15k-21k   ,发布于02月20日,3-5年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,Java开发工程师      ,10000人以上   ,15k-30k   ,发布于02月26日,应届生
京东数字科技     ,本科           ,互联网         ,不需要融资     ,北京          ,Java           ,1000-9999人 ,20k-40k   ,发布于09:23 ,3-5年
慧博云通       ,本科           ,计算机软件       ,B轮        ,北京 西城区 金融街  ,Java中级         ,1000-9999人 ,15k-18k   ,发布于02月21日,3-5年
中冶京诚工程技术...,本科           ,机械设备/机电/重工  ,已上市       ,北京 大兴区 亦庄   ,Java           ,1000-9999人 ,8k-9k     ,发布于02月25日,1年以内
软通动力       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 万柳   ,Java工程师        ,10000人以上   ,10k-15k   ,发布于13:47 ,3-5年
高伟达公司      ,本科           ,计算机软件       ,已上市       ,北京 丰台区 岳各庄  ,java运维工程师      ,1000-9999人 ,6k-8k     ,发布于昨天    ,1-3年
